Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
D,Yasser Larouci (14050858),Yasser Larouci,14050858,D/UTIL,3100,LIV vs WOL 11:30AM ET,LIV,0
D,Willy Boly (14050860),Willy Boly,14050860,D/UTIL,3100,LIV vs WOL 11:30AM ET,WOL,5.28
D,John Egan (14050862),John Egan,14050862,D/UTIL,3100,MCI vs SHU 01:00PM ET,SHU,3.98
M,Ben Osborn (14051014),Ben Osborn,14051014,M/UTIL,3100,MCI vs SHU 01:00PM ET,SHU,1.30
D,Shkodran Mustafi (14050864),Shkodran Mustafi,14050864,D/UTIL,3000,ARS vs CHE 09:00AM ET,ARS,2.74
D,Tariq Lamptey (14050866),Tariq Lamptey,14050866,D/UTIL,3000,ARS vs CHE 09:00AM ET,CHE,0
D,Joel Matip (14050868),Joel Matip,14050868,D/UTIL,3000,LIV vs WOL 11:30AM ET,LIV,6.69
D,Ryan Bennett (14050870),Ryan Bennett,14050870,D/UTIL,3000,LIV vs WOL 11:30AM ET,WOL,1.82
M,Leighton Clarkson (14051018),Leighton Clarkson,14051018,M/UTIL,3000,LIV vs WOL 11:30AM ET,LIV,0
M,Owen Otasowie (14051020),Owen Otasowie,14051020,M/UTIL,3000,LIV vs WOL 11:30AM ET,WOL,0
M,Bruno Jordao (14051022),Bruno Jordao,14051022,M/UTIL,3000,LIV vs WOL 11:30AM ET,WOL,0
M,Terry Taylor (14051024),Terry Taylor,14051024,M/UTIL,3000,LIV vs WOL 11:30AM ET,WOL,0
D,Phil Jagielka (14050872),Phil Jagielka,14050872,D/UTIL,3000,MCI vs SHU 01:00PM ET,SHU,1.32
D, Sokratis (14050874), Sokratis,14050874,D/UTIL,2900,ARS vs CHE 09:00AM ET,ARS,3.48
D,Ian Maatsen (14050876),Ian Maatsen,14050876,D/UTIL,2900,ARS vs CHE 09:00AM ET,CHE,0
D,Thomas Clayton (14050878),Thomas Clayton,14050878,D/UTIL,2900,LIV vs WOL 11:30AM ET,LIV,0
D,Conor Coady (14050880),Conor Coady,14050880,D/UTIL,2900,LIV vs WOL 11:30AM ET,WOL,2.25
D,Zech Medley (14050884),Zech Medley,14050884,D/UTIL,2800,ARS vs CHE 09:00AM ET,ARS,0
D,Morgan Boyes (14050886),Morgan Boyes,14050886,D/UTIL,2800,LIV vs WOL 11:30AM ET,LIV,0
D,Richard Stearman (14050882),Richard Stearman,14050882,D/UTIL,2800,MCI vs SHU 01:00PM ET,SHU,0
D,Jesus Vallejo (14050888),Jesus Vallejo,14050888,D/UTIL,2700,LIV vs WOL 11:30AM ET,WOL,1.51
D,Max Kilman (14050890),Max Kilman,14050890,D/UTIL,2700,LIV vs WOL 11:30AM ET,WOL,1.64
D,Kean Bryan (14050892),Kean Bryan,14050892,D/UTIL,2700,MCI vs SHU 01:00PM ET,SHU,0
D,Rob Holding (14050894),Rob Holding,14050894,D/UTIL,2600,ARS vs CHE 09:00AM ET,ARS,3.78
D,Konstantinos Mavropanos (14050896),Konstantinos Mavropanos,14050896,D/UTIL,2600,ARS vs CHE 09:00AM ET,ARS,0
D,Sepp van den Berg (14050898),Sepp van den Berg,14050898,D/UTIL,2600,LIV vs WOL 11:30AM ET,LIV,0
D,Billy Koumetio (14050900),Billy Koumetio,14050900,D/UTIL,2500,LIV vs WOL 11:30AM ET,LIV,0
D,Dion Sanderson (14050902),Dion Sanderson,14050902,D/UTIL,2500,LIV vs WOL 11:30AM ET,WOL,0
D,Lewis Richards (14050904),Lewis Richards,14050904,D/UTIL,2500,LIV vs WOL 11:30AM ET,WOL,0
D,Flavio Cristovao (14050906),Flavio Cristovao,14050906,D/UTIL,2500,LIV vs WOL 11:30AM ET,WOL,0
