Salary,G,A,S,SOG,INT,CR,CC,TKLW,FC,FS,P,Player,Points,Percentage,Total_Kicks,Win %,D,F,M,M/F,LIV,LEI,MCI,CHE,MUN,WLV,TOT,SHU,ARS,CRY,NEW,BHA,BUR,EVE,BOU,WHU,AVL,SOU,NOR,WAT
3000,0.0,0.0,0.2,0.0,1.6,0.0,0.2,0.6,0.8,0.4,54.2,Michael Keane,1.1,0.0,0.0,59.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3200,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.5,2.0,1.5,61.5,Fabian Delph,3.5,0.0,0.0,59.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3000,0.0,0.0,0.0,0.0,0.67,0.0,0.0,2.0,1.33,1.33,46.67,Jean-Philippe Gbamin,0.0,0.0,0.0,59.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3100,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2.0,0.0,0.5,71.0,John Stones,0.0,0.0,0.0,85.13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.63,0.0,29.38,Ibrahim Amadou,0.9,0.0,0.0,25.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3400,0.0,0.0,0.0,0.0,0.8,1.4,0.6,0.8,0.4,1.4,39.69,Jamal Lewis,5.1,0.0,0.0,25.14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3800,0.0,0.0,0.0,0.0,1.94,0.97,0.0,0.0,0.0,0.0,24.19,Alexander Tettey,0.1,0.0,0.0,25.14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4600,0.0,0.0,0.0,0.0,1.44,2.88,0.72,1.44,2.16,0.0,24.48,Javier Manquillo,6.9,0.0,0.0,39.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3500,0.0,0.0,0.0,0.0,2.2,0.4,0.0,0.6,1.0,0.4,37.6,John Egan,6.2,0.0,0.0,15.63,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2700,0.0,0.0,0.0,0.0,0.5,0.0,0.0,1.5,0.75,0.25,47.75,Craig Cathcart,0.0,0.0,0.0,5.51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
