Symbol,FinalSettlementPrice,EvaluationDate,FirstTradeDate,ErisPAIDate,EffectiveDate,CashFlowAlignmentDate,MaturityDate,NPV (A),FixedNPV,FloatingNPV,Coupon (%),FairCoupon (%),FixedPayment,FloatingPayment,NextFixedPaymentDate,NextFixedPaymentAmount,PreviousFixingDate,PreviousFixingRate,NextFloatingPaymentDate,NextFloatingPaymentAmount,NextFixingDate,PreviousSettlementDate,PreviousSettlementPrice,PreviousErisPAI,FedFundsDate,FedFundsRate (%),AccrualDays,DailyIncrementalErisPAI,AccruedCoupons (B),ErisPAI (C),SettlementPrice (100+A+B-C),RFQ NPV TickSize ($),Nominal,ResetRateDescriptor,InterpolationFactor,HighTradePrice,LowTradePrice,LastTradePrice,DailyContractVolume,Tag55(T),Tag65(T),Tag55(T+1),Tag65(T+1),LastTradeDate,InitialSpeculatorMargin,SecondarySpeculatorMargin,InitialHedgerMargin,SecondaryHedgerMargin,ExchangeSymbol (EX005),BloombergTicker,FirstFixingDate,Category,BenchmarkContractName,PV01,DV01,ShortName,EffectiveYearMonth,UnpaidFixedAccrualStartDate,UnpaidFixedAccrual,UnpaidFloatingAccrualStartDate,UnpaidFloatingAccrual,NetUnpaidFixedFloatingAccrual,NPV(A)lessNetUnpaidFixedFloatingAccrual,AccruedCoupons(B)plusNetUnpaidFixedFloatingAccrual
LIWZ14,104.3881,09/26/2019,06/30/2014,06/30/2014,12/17/2014,12/17/2019,12/17/2019,0.5818326861,1.1204176919,-0.5385850058,2.2500000000,1.0815754444,0.0000000000,0.0000000000,12/17/2019,1.1250000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,,09/25/2019,104.3881,0.0334311119,09/25/2019,1.9000000000,1,0.0000307055,3.8397388612,0.0334618174,104.3881097299,"",100,2M-3M,1.0000000000,"","","","","","","","",12/16/2019,6,5,5,5,LIW,LIWZ14,12/15/2014,"","",4.98,0.01,"",201412,06/17/2019,0.6187500000,09/17/2019,0.0534845000,0.5652655000,0.0165671861,4.4050043612
LIBZ14,107.4521,09/26/2019,06/30/2014,06/30/2014,12/17/2014,12/17/2021,12/17/2021,2.5513722064,6.1409238084,-3.5895516020,2.5000000000,1.4613239449,0.0000000000,0.0000000000,12/17/2019,1.2500000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,107.4042,0.0639225534,09/25/2019,1.9000000000,1,0.0001321208,4.9647388612,0.0640546742,107.4520563935,"",100,2M-3M,1.0000000000,"","","","","","","","",12/16/2021,633,575,575,575,LIB,LIBZ14,12/15/2014,"","",24.56,23.46,"",201412,06/17/2019,0.6875000000,09/17/2019,0.0534845000,0.6340155000,1.9173567064,5.5987543612
LIYZ14,115.3010,09/26/2019,06/30/2014,06/30/2014,12/17/2014,12/17/2024,12/17/2024,8.3128165779,15.9257886577,-7.6129720798,3.0000000000,1.4340838454,0.0000000000,0.0000000000,12/17/2019,1.5000000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,115.1469,0.2261361537,09/25/2019,1.9000000000,1,0.0004305757,7.2147388611,0.2265667294,115.3009887096,"",100,2M-3M,1.0000000000,"","","","","","","","",12/16/2024,1430,1300,1300,1300,LIY,LIYZ14,12/15/2014,"","",53.09,53.22,"",201412,06/17/2019,0.8250000000,09/17/2019,0.0534845000,0.7715155000,7.5413010779,7.9862543611
LIEZ14,147.6281,09/26/2019,06/30/2014,06/30/2014,12/17/2014,12/17/2044,12/19/2044,39.0636496836,74.9585149317,-35.8948652481,3.5000000000,1.6760207761,0.0000000000,0.0000000000,12/17/2019,1.7500000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,146.6916,0.8982667652,09/25/2019,1.9000000000,1,0.0020121591,9.4647388611,0.9002789243,147.6281096204,"",100,2M-3M,1.0000000000,"","","","","","","","",12/16/2044,5280,4800,4800,4800,LIE,LIEZ14,12/15/2014,"","",214.17,259.99,"",201412,06/17/2019,0.9625000000,09/17/2019,0.0534845000,0.9090155000,38.1546341836,10.3737543611
LIWH15,103.9421,09/26/2019,09/30/2014,09/30/2014,03/18/2015,03/18/2020,03/18/2020,0.0795256659,1.1159277066,-1.0364020407,2.2500000000,2.0896556092,0.0000000000,0.0000000000,03/18/2020,1.1250000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,103.9371,0.0318106634,09/25/2019,1.9000000000,1,0.0000039327,3.8944304167,0.0318145961,103.9421414865,"",100,2M-3M,1.0000000000,"","","","","","","","",03/17/2020,39,35,35,35,LIW,LIWH15,03/16/2015,"","",4.96,2.52,"",201503,09/18/2019,0.0500000000,09/18/2019,0.0476695556,0.0023304444,0.0771952215,3.8967608611
LIBH15,107.1582,09/26/2019,09/30/2014,09/30/2014,03/18/2015,03/18/2022,03/18/2022,2.2053432233,6.1209922861,-3.9156490628,2.5000000000,1.5992705430,0.0000000000,0.0000000000,03/18/2020,1.2500000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,107.1032,0.0664497119,09/25/2019,1.9000000000,1,0.0001134850,5.0194304167,0.0665631969,107.1582104431,"",100,2M-3M,1.0000000000,"","","","","","","","",03/17/2022,726,660,660,660,LIB,LIBH15,03/16/2015,"","",24.48,26.13,"",201503,09/18/2019,0.0555555556,09/18/2019,0.0476695556,0.0078860000,2.1974572233,5.0273164167
LIYH15,114.9582,09/26/2019,09/30/2014,09/30/2014,03/18/2015,03/18/2025,03/18/2025,7.9210167681,15.8758003591,-7.9547835909,3.0000000000,1.5031904051,0.0000000000,0.0000000000,03/18/2020,1.5000000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,114.7988,0.2318393634,09/25/2019,1.9000000000,1,0.0004096209,7.2694304168,0.2322489843,114.9581982006,"",100,2M-3M,1.0000000000,"","","","","","","","",03/17/2025,1491,1355,1355,1355,LIY,LIYH15,03/16/2015,"","",52.92,55.71,"",201503,09/18/2019,0.0666666667,09/18/2019,0.0476695556,0.0189971111,7.9020196570,7.2884275279
LIEH15,147.1017,09/26/2019,09/30/2014,09/30/2014,03/18/2015,03/18/2045,03/20/2045,38.4897618997,74.6810267843,-36.1912648846,3.5000000000,1.6961393349,0.0000000000,0.0000000000,03/18/2020,1.7500000000,09/16/2019,0.0214513000,12/18/2019,0.5422411944,12/16/2019,09/25/2019,146.1559,0.9054648069,09/25/2019,1.9000000000,1,0.0019813801,9.5194304168,0.9074461870,147.1017461296,"",100,2M-3M,1.0000000000,"","","","","","","","",03/17/2045,5280,4800,4800,4800,LIE,LIEH15,03/16/2015,"","",213.37,262.46,"",201503,09/18/2019,0.0777777778,09/18/2019,0.0476695556,0.0301082222,38.4596536775,9.5495386390
LIWM15,103.5895,09/26/2019,12/31/2014,12/31/2014,06/17/2015,06/17/2020,06/17/2020,0.7718693247,2.2323080647,-1.4604387400,2.2500000000,1.4720133018,0.0000000000,0.0000000000,12/17/2019,1.1250000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,103.5782,0.0269249730,09/25/2019,1.9000000000,1,0.0000401401,2.8445549723,0.0269651131,103.5894591840,"",100,2M-3M,1.0000000000,"","","","","","","","",06/16/2020,105,95,95,95,LIW,LIWM15,06/15/2015,"","",9.92,5.07,"",201506,06/17/2019,0.6187500000,09/17/2019,0.0534845000,0.5652655000,0.2066038247,3.4098204723
LIBM15,106.8783,09/26/2019,12/31/2014,12/31/2014,06/17/2015,06/17/2022,06/17/2022,3.0980860576,7.3471326273,-4.2490465697,2.5000000000,1.4458179760,0.0000000000,0.0000000000,12/17/2019,1.2500000000,09/13/2019,0.0213938000,12/17/2019,0.5407877222,12/13/2019,09/25/2019,106.8119,0.0641474012,09/25/2019,1.9000000000,1,0.0001599974,3.8445549723,0.0643073986,106.8783336313,"",100,2M-3M,1.0000000000,"","","","","","","","",06/16/2022,798,725,725,725,LIB,LIBM15,06/15/2015,"","",29.39,28.23,"",201506,06/17/2019,0.6875000000,09/17/2019,0.0534845000,0.6340155000,2.4640705576,4.4785704723
